id;original_description;code;nearest_level1_code;original_code_system;article;code_description;level1_code_description;umls_cui;level1_umls_cui
1;Intestinal infectious diseases;A09.0;A09;ICD10;Schuettig et al (2019);ERROR;Infectious gastroenteritis and colitis, unspecified;ERROR - atom;C0021342
2;Intestinal infectious diseases;A09.9;A09;ICD10;Schuettig et al (2019);ERROR;Infectious gastroenteritis and colitis, unspecified;ERROR - atom;C0021342
3;Infections of the skin and subcutaneous tissue;A46;A46;ICD10;Schuettig et al (2019);Erysipelas;Erysipelas;C0014733;C0014733
4;HBV acute infectiona ;B16;B16;ICD10;Schuettig et al (2019);Acute hepatitis B;Acute hepatitis B;C0276609;C0276609
5;HBV chronic infection;B18.0;B18;ICD10;Schuettig et al (2019);Chronic viral hepatitis B with delta-agent;Chronic viral hepatitis;C0400918;C0549126
6;HBV chronic infection;B18.1;B18;ICD10;Schuettig et al (2019);Chronic viral hepatitis B without delta-agent;Chronic viral hepatitis;C2911652;C0549126
7;Certain infectious and parasitic diseases ;B34.9;B34;ICD10;Schuettig et al (2019);Viral infection, unspecified;Viral infection of unspecified site;C0042769;C0042769
8;Infectious parotitis;B26;B26;ICD10;Schuettig et al (2019);Mumps;Mumps;C0026780;C0026780
9;Certain infectious and parasitic diseases ;B85.0;B85;ICD10;Schuettig et al (2019);Pediculosis due to Pediculus humanus capitis;Pediculosis and phthiriasis;C0030757;C0153317
10;Certain infectious and parasitic diseases ;B86;B86;ICD10;Schuettig et al (2019);Scabies;Scabies;C0036262;C0036262
11;Certain infectious and parasitic diseases ;B99;B99;ICD10;Schuettig et al (2019);Other and unspecified infectious diseases;Other and unspecified infectious diseases;C0348336;C0348336
12;Diabetes mellitus;E11;E11;ICD10;Schuettig et al (2019);Type 2 diabetes mellitus;Type 2 diabetes mellitus;C0011847;C0011847
13;Mood [affective] disorders;F32;F32;ICD10;Schuettig et al (2019);Depressive episode;Depressive episode;C0349217;C0349217
14;Mood [affective] disorders;F33;F33;ICD10;Schuettig et al (2019);Major depressive disorder, recurrent;Major depressive disorder, recurrent;;
15;Mood [affective] disorders;F34;F34;ICD10;Schuettig et al (2019);Persistent mood [affective] disorders;Persistent mood [affective] disorders;C0349224;C0349224
16;Mood [affective] disorders;F38;F38;ICD10;Schuettig et al (2019);ERROR;ERROR;ERROR - atom;ERROR - atom
17;Mood [affective] disorders;F39;F39;ICD10;Schuettig et al (2019);Unspecified mood [affective] disorder;Unspecified mood [affective] disorder;;
18;Diseases of the nervous system;G35.1;G35;ICD10;Schuettig et al (2019);ERROR;Multiple sclerosis;ERROR - atom;C0026769
19;Diseases of the nervous system;G58.0;G58;ICD10;Schuettig et al (2019);Intercostal neuropathy;Other mononeuropathies;C0393897;C0494490
20;Diseases of the eye and adnex;H10.9;H10;ICD10;Schuettig et al (2019);Unspecified conjunctivitis;Conjunctivitis;C0009763;C0009763
21;Diseases of the ear and mastoid process;H91.2;H91;ICD10;Schuettig et al (2019);Sudden idiopathic hearing loss;Other and unspecified hearing loss;C4316900;C2881946
22;Diseases of the ear and mastoid process;H93.1;H93;ICD10;Schuettig et al (2019);Tinnitus;Other disorders of ear, not elsewhere classified;C0040264;C0494566
23;Hypertensive diseases;I10.0;I10;ICD10;Schuettig et al (2019);ERROR;Essential (primary) hypertension;ERROR - atom;C0085580
24;Hypertensive diseases;I10.9;I10;ICD10;Schuettig et al (2019);ERROR;Essential (primary) hypertension;ERROR - atom;C0085580
25;Diseases of the circulatory system;I80;I80;ICD10;Schuettig et al (2019);Phlebitis and thrombophlebitis;Phlebitis and thrombophlebitis;C0031542;C0031542
26;Diseases of the circulatory system;I83;I83;ICD10;Schuettig et al (2019);Varicose veins of lower extremities;Varicose veins of lower extremities;C0155778;C0155778
27;ENT infections;J00;J00;ICD10;Schuettig et al (2019);Acute nasopharyngitis [common cold];Acute nasopharyngitis [common cold];C0009443;C0009443
28;ENT infections;J02.9;J02;ICD10;Schuettig et al (2019);Acute pharyngitis, unspecified;Acute pharyngitis;;
29;ENT infections;J03.9;J03;ICD10;Schuettig et al (2019);Acute tonsillitis, unspecified;Acute tonsillitis;;C0001361
30;ENT infections;J04.0;J04;ICD10;Schuettig et al (2019);Acute laryngitis;Acute laryngitis and tracheitis;C0001327;C0155811
31;ENT infections;J06.8;J06;ICD10;Schuettig et al (2019);ERROR;Acute upper respiratory infections of multiple and unspecified sites;ERROR - atom;C0264223
32;ENT infections;J06.9;J06;ICD10;Schuettig et al (2019);Acute upper respiratory infection, unspecified;Acute upper respiratory infections of multiple and unspecified sites;C0264222;C0264223
33;ENT infections;J20.9;J20;ICD10;Schuettig et al (2019);Acute bronchitis, unspecified;Acute bronchitis;C0149514;C0149514
34;Bronchitis;J40;J40;ICD10;Schuettig et al (2019);Bronchitis, not specified as acute or chronic;Bronchitis, not specified as acute or chronic;C0006277;C0006277
35;Diseases of oral cavity, salivary glands and jaws;K11.2;K11;ICD10;Schuettig et al (2019);Sialoadenitis;Diseases of salivary glands;C0037023;C0036093
36;Diseases of oral cavity, salivary glands and jaws;K12.0;K12;ICD10;Schuettig et al (2019);Recurrent oral aphthae;Stomatitis and related lesions;C0086789;C0494713
37;Diseases of oral cavity, salivary glands and jaws;K14.0;K14;ICD10;Schuettig et al (2019);Glossitis;Diseases of tongue;C0017675;C0040409
38;Diseases of the digestive system;K52.9;K52;ICD10;Schuettig et al (2019);Noninfective gastroenteritis and colitis, unspecified;Other and unspecified noninfective gastroenteritis and colitis;C0341276;C0029512
39;Diseases of the digestive system;K59.0;K59;ICD10;Schuettig et al (2019);Constipation;Other functional intestinal disorders;C0009806;C0341089
40;Diseases of the digestive system;K59.1;K59;ICD10;Schuettig et al (2019);Functional diarrhea;Other functional intestinal disorders;C0156173;C0341089
41;Infections of the skin and subcutaneous tissue;L03.0;L03;ICD10;Schuettig et al (2019);Cellulitis and acute lymphangitis of finger and toe;Cellulitis and acute lymphangitis;C0030578;C2888134
42;Dermatitis, eczema and other disease of the skin;L20.8;L20;ICD10;Schuettig et al (2019);Other atopic dermatitis;Atopic dermatitis;C0494831;C0011615
43;Dermatitis, eczema and other disease of the skin;L20.9;L20;ICD10;Schuettig et al (2019);Atopic dermatitis, unspecified;Atopic dermatitis;C0011615;C0011615
44;Dermatitis, eczema and other disease of the skin;L22;L22;ICD10;Schuettig et al (2019);Diaper dermatitis;Diaper dermatitis;C0011974;C0011974
45;Dermatitis, eczema and other disease of the skin;L23.2;L23;ICD10;Schuettig et al (2019);Allergic contact dermatitis due to cosmetics;Allergic contact dermatitis;C0451925;C0162820
46;Dermatitis, eczema and other disease of the skin;L23.4;L23;ICD10;Schuettig et al (2019);Allergic contact dermatitis due to dyes;Allergic contact dermatitis;C0451927;C0162820
47;Arthropathies;M10.0;M10;ICD10;Schuettig et al (2019);Idiopathic gout;Gout;C0149896;C2712871
48;Arthropathies;M25.5;M25;ICD10;Schuettig et al (2019);Pain in joint;Other joint disorder, not elsewhere classified;C0003862;C0494938
49;Back pain;M54.1;M54;ICD10;Schuettig et al (2019);Radiculopathy;Dorsalgia;C1442952;C0004604
50;Back pain;M54.2;M54;ICD10;Schuettig et al (2019);Cervicalgia;Dorsalgia;C0007859;C0004604
51;Back pain;M54.4;M54;ICD10;Schuettig et al (2019);Lumbago with sciatica;Dorsalgia;C0452160;C0004604
52;Back pain;M54.5;M54;ICD10;Schuettig et al (2019);Low back pain;Dorsalgia;C0024031;C0004604
53;Back pain;M54.6;M54;ICD10;Schuettig et al (2019);Pain in thoracic spine;Dorsalgia;C0677061;C0004604
54;Back pain;M54.8;M54;ICD10;Schuettig et al (2019);Other dorsalgia;Dorsalgia;C0477632;C0004604
55;Back pain;M54.9;M54;ICD10;Schuettig et al (2019);Dorsalgia, unspecified;Dorsalgia;C0004604;C0004604
56;Soft tissue disorders;M62.6;M62;ICD10;Schuettig et al (2019);ERROR;Other disorders of muscle;ERROR - atom;C0494973
57;Soft tissue disorders;M79.0;M79;ICD10;Schuettig et al (2019);Rheumatism, unspecified;Other and unspecified soft tissue disorders, not elsewhere classified;C0035435;C2896437
58;Soft tissue disorders;M79.2;M79;ICD10;Schuettig et al (2019);Neuralgia and neuritis, unspecified;Other and unspecified soft tissue disorders, not elsewhere classified;C0494994;C2896437
59;Soft tissue disorders;M79.6;M79;ICD10;Schuettig et al (2019);Pain in limb, hand, foot, fingers and toes;Other and unspecified soft tissue disorders, not elsewhere classified;C2896438;C2896437
60;Biomechanical lesions;M99.8;M99;ICD10;Schuettig et al (2019);Other biomechanical lesions;Biomechanical lesions, not elsewhere classified;C0477709;C0868884
61;Diseases of the genitourinary system;N12;N12;ICD10;Schuettig et al (2019);Tubulo-interstitial nephritis, not specified as acute or chronic;Tubulo-interstitial nephritis, not specified as acute or chronic;C0027707;C0027707
62;Diseases of the genitourinary system;N28.8;N28;ICD10;Schuettig et al (2019);Other specified disorders of kidney and ureter;Other disorders of kidney and ureter, not elsewhere classified;C0029781;C0495063
63;Diseases and symptoms of urinary system;N30.0;N30;ICD10;Schuettig et al (2019);Acute cystitis;Cystitis;C0149523;C0010692
64;Diseases and symptoms of urinary system;N39.0;N39;ICD10;Schuettig et al (2019);Urinary tract infection, site not specified;Other disorders of urinary system;C0042029;C0178288
65;Diseases of male genital organs;N41.1;N41;ICD10;Schuettig et al (2019);Chronic prostatitis;Inflammatory diseases of prostate;C0085696;C0033581
66;Diseases of male genital organs;N45.9;N45;ICD10;Schuettig et al (2019);ERROR;Orchitis and epididymitis;ERROR - atom;C0149881
67;Diseases of male genital organs;N48.1;N48;ICD10;Schuettig et al (2019);Balanitis;Other disorders of penis;C0004690;C0495079
68;Symptoms and signs involving the circulatory and respiratory systems;R04.0;R04;ICD10;Schuettig et al (2019);Epistaxis;Hemorrhage from respiratory passages;C0014591;C0478116
69;Symptoms and signs involving the circulatory and respiratory systems;R05;R05;ICD10;Schuettig et al (2019);Cough;Cough;C0010200;C0010200
70;Symptoms and signs involving the circulatory and respiratory systems;R06.4;R06;ICD10;Schuettig et al (2019);Hyperventilation;Abnormalities of breathing;C0020578;C1260922
71;Symptoms and signs involving the circulatory and respiratory systems;R10.1;R10;ICD10;Schuettig et al (2019);Pain localized to upper abdomen;Abdominal and pelvic pain;C0232492;C0495669
72;Symptoms and signs involving the circulatory and respiratory systems;R10.3;R10;ICD10;Schuettig et al (2019);Pain localized to other parts of lower abdomen;Abdominal and pelvic pain;C0478118;C0495669
73;Symptoms and signs involving the circulatory and respiratory systems;R10.4;R10;ICD10;Schuettig et al (2019);ERROR;Abdominal and pelvic pain;ERROR - atom;C0495669
74;Symptoms and signs involving the circulatory and respiratory systems;R11;R11;ICD10;Schuettig et al (2019);Nausea and vomiting;Nausea and vomiting;C0027498;C0027498
75;Dermatitis, eczema and other disease of the skin;R21;R21;ICD10;Schuettig et al (2019);Rash and other nonspecific skin eruption;Rash and other nonspecific skin eruption;C0015230;C0015230
76;Diseases and symptoms of urinary system;R30.0;R30;ICD10;Schuettig et al (2019);Dysuria;Pain associated with micturition;C0013428;C0013428
77;Diseases and symptoms of urinary system;R32;R32;ICD10;Schuettig et al (2019);Unspecified urinary incontinence;Unspecified urinary incontinence;C0014394;C0014394
78;General symptoms and signs;R50;R50;ICD10;Schuettig et al (2019);Fever of other and unknown origin;Fever of other and unknown origin;C2830447;C2830447
79;General symptoms and signs;R51;R51;ICD10;Schuettig et al (2019);Headache;Headache;C0018681;C0018681
