,id,original_description,code,nearest_level1_code,original_code_system,article,code_description,level1_code_description
0,1,Intestinal infectious diseases,A09.0,A09,ICD10,Schuettig et al (2019),ERROR,"Infectious gastroenteritis and colitis, unspecified"
1,2,Intestinal infectious diseases,A09.9,A09,ICD10,Schuettig et al (2019),ERROR,"Infectious gastroenteritis and colitis, unspecified"
2,3,Infections of the skin and subcutaneous tissue,A46,A46,ICD10,Schuettig et al (2019),Erysipelas,Erysipelas
3,4,HBV acute infectiona ,B16,B16,ICD10,Schuettig et al (2019),Acute hepatitis B,Acute hepatitis B
4,5,HBV chronic infection,B18.0,B18,ICD10,Schuettig et al (2019),Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis
5,6,HBV chronic infection,B18.1,B18,ICD10,Schuettig et al (2019),Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis
6,7,Certain infectious and parasitic diseases ,B34.9,B34,ICD10,Schuettig et al (2019),"Viral infection, unspecified",Viral infection of unspecified site
7,8,Infectious parotitis,B26,B26,ICD10,Schuettig et al (2019),Mumps,Mumps
8,9,Certain infectious and parasitic diseases ,B85.0,B85,ICD10,Schuettig et al (2019),Pediculosis due to Pediculus humanus capitis,Pediculosis and phthiriasis
9,10,Certain infectious and parasitic diseases ,B86,B86,ICD10,Schuettig et al (2019),Scabies,Scabies
10,11,Certain infectious and parasitic diseases ,B99,B99,ICD10,Schuettig et al (2019),Other and unspecified infectious diseases,Other and unspecified infectious diseases
11,12,Diabetes mellitus,E11,E11,ICD10,Schuettig et al (2019),Type 2 diabetes mellitus,Type 2 diabetes mellitus
12,13,Mood [affective] disorders,F32,F32,ICD10,Schuettig et al (2019),Depressive episode,Depressive episode
13,14,Mood [affective] disorders,F33,F33,ICD10,Schuettig et al (2019),"Major depressive disorder, recurrent","Major depressive disorder, recurrent"
14,15,Mood [affective] disorders,F34,F34,ICD10,Schuettig et al (2019),Persistent mood [affective] disorders,Persistent mood [affective] disorders
15,16,Mood [affective] disorders,F38,F38,ICD10,Schuettig et al (2019),ERROR,ERROR
16,17,Mood [affective] disorders,F39,F39,ICD10,Schuettig et al (2019),Unspecified mood [affective] disorder,Unspecified mood [affective] disorder
17,18,Diseases of the nervous system,G35.1,G35,ICD10,Schuettig et al (2019),ERROR,Multiple sclerosis
