,id,original_description,code,nearest_level1_code,original_code_system,article,parent_ui
0,1,Intestinal infectious diseases,A09.0,A09,ICD10,Schuettig et al (2019),A00-A09
1,2,Intestinal infectious diseases,A09.9,A09,ICD10,Schuettig et al (2019),A00-A09
2,3,Infections of the skin and subcutaneous tissue,A46,A46,ICD10,Schuettig et al (2019),A30-A49
3,4,HBV acute infectiona ,B16,B16,ICD10,Schuettig et al (2019),B15-B19
4,5,HBV chronic infection,B18.0,B18,ICD10,Schuettig et al (2019),B15-B19
5,6,HBV chronic infection,B18.1,B18,ICD10,Schuettig et al (2019),B15-B19
6,7,Certain infectious and parasitic diseases ,B34.9,B34,ICD10,Schuettig et al (2019),B25-B34
7,8,Infectious parotitis,B26,B26,ICD10,Schuettig et al (2019),B25-B34
8,9,Certain infectious and parasitic diseases ,B85.0,B85,ICD10,Schuettig et al (2019),B85-B89
9,10,Certain infectious and parasitic diseases ,B86,B86,ICD10,Schuettig et al (2019),B85-B89
10,11,Certain infectious and parasitic diseases ,B99,B99,ICD10,Schuettig et al (2019),B99-B99
11,12,Diabetes mellitus,E11,E11,ICD10,Schuettig et al (2019),E08-E13
12,13,Mood [affective] disorders,F32,F32,ICD10,Schuettig et al (2019),F30-F39
13,14,Mood [affective] disorders,F33,F33,ICD10,Schuettig et al (2019),F30-F39
14,15,Mood [affective] disorders,F34,F34,ICD10,Schuettig et al (2019),F30-F39
15,16,Mood [affective] disorders,F38,F38,ICD10,Schuettig et al (2019),ERROR
16,17,Mood [affective] disorders,F39,F39,ICD10,Schuettig et al (2019),F30-F39
17,18,Diseases of the nervous system,G35.1,G35,ICD10,Schuettig et al (2019),G35-G37
18,19,Diseases of the nervous system,G58.0,G58,ICD10,Schuettig et al (2019),G50-G59
19,20,Diseases of the eye and adnex,H10.9,H10,ICD10,Schuettig et al (2019),H10-H11
20,21,Diseases of the ear and mastoid process,H91.2,H91,ICD10,Schuettig et al (2019),H90-H94
21,22,Diseases of the ear and mastoid process,H93.1,H93,ICD10,Schuettig et al (2019),H90-H94
22,23,Hypertensive diseases,I10.0,I10,ICD10,Schuettig et al (2019),I10-I16
23,24,Hypertensive diseases,I10.9,I10,ICD10,Schuettig et al (2019),I10-I16
24,25,Diseases of the circulatory system,I80,I80,ICD10,Schuettig et al (2019),I80-I89
25,26,Diseases of the circulatory system,I83,I83,ICD10,Schuettig et al (2019),I80-I89
26,27,ENT infections,J00,J00,ICD10,Schuettig et al (2019),J00-J06
27,28,ENT infections,J02.9,J02,ICD10,Schuettig et al (2019),J00-J06
28,29,ENT infections,J03.9,J03,ICD10,Schuettig et al (2019),J00-J06
29,30,ENT infections,J04.0,J04,ICD10,Schuettig et al (2019),J00-J06
30,31,ENT infections,J06.8,J06,ICD10,Schuettig et al (2019),J00-J06
31,32,ENT infections,J06.9,J06,ICD10,Schuettig et al (2019),J00-J06
32,33,ENT infections,J20.9,J20,ICD10,Schuettig et al (2019),J20-J22
33,34,Bronchitis,J40,J40,ICD10,Schuettig et al (2019),J40-J47
34,35,"Diseases of oral cavity, salivary glands and jaws",K11.2,K11,ICD10,Schuettig et al (2019),K00-K14
35,36,"Diseases of oral cavity, salivary glands and jaws",K12.0,K12,ICD10,Schuettig et al (2019),K00-K14
36,37,"Diseases of oral cavity, salivary glands and jaws",K14.0,K14,ICD10,Schuettig et al (2019),K00-K14
37,38,Diseases of the digestive system,K52.9,K52,ICD10,Schuettig et al (2019),K50-K52
38,39,Diseases of the digestive system,K59.0,K59,ICD10,Schuettig et al (2019),K55-K64
39,40,Diseases of the digestive system,K59.1,K59,ICD10,Schuettig et al (2019),K55-K64
40,41,Infections of the skin and subcutaneous tissue,L03.0,L03,ICD10,Schuettig et al (2019),L00-L08
41,42,"Dermatitis, eczema and other disease of the skin",L20.8,L20,ICD10,Schuettig et al (2019),L20-L30
42,43,"Dermatitis, eczema and other disease of the skin",L20.9,L20,ICD10,Schuettig et al (2019),L20-L30
43,44,"Dermatitis, eczema and other disease of the skin",L22,L22,ICD10,Schuettig et al (2019),L20-L30
44,45,"Dermatitis, eczema and other disease of the skin",L23.2,L23,ICD10,Schuettig et al (2019),L20-L30
45,46,"Dermatitis, eczema and other disease of the skin",L23.4,L23,ICD10,Schuettig et al (2019),L20-L30
46,47,Arthropathies,M10.0,M10,ICD10,Schuettig et al (2019),M05-M14
47,48,Arthropathies,M25.5,M25,ICD10,Schuettig et al (2019),M20-M25
48,49,Back pain,M54.1,M54,ICD10,Schuettig et al (2019),M50-M54
49,50,Back pain,M54.2,M54,ICD10,Schuettig et al (2019),M50-M54
50,51,Back pain,M54.4,M54,ICD10,Schuettig et al (2019),M50-M54
51,52,Back pain,M54.5,M54,ICD10,Schuettig et al (2019),M50-M54
52,53,Back pain,M54.6,M54,ICD10,Schuettig et al (2019),M50-M54
53,54,Back pain,M54.8,M54,ICD10,Schuettig et al (2019),M50-M54
54,55,Back pain,M54.9,M54,ICD10,Schuettig et al (2019),M50-M54
55,56,Soft tissue disorders,M62.6,M62,ICD10,Schuettig et al (2019),M60-M63
56,57,Soft tissue disorders,M79.0,M79,ICD10,Schuettig et al (2019),M70-M79
57,58,Soft tissue disorders,M79.2,M79,ICD10,Schuettig et al (2019),M70-M79
58,59,Soft tissue disorders,M79.6,M79,ICD10,Schuettig et al (2019),M70-M79
59,60,Biomechanical lesions,M99.8,M99,ICD10,Schuettig et al (2019),M99-M99
60,61,Diseases of the genitourinary system,N12,N12,ICD10,Schuettig et al (2019),N10-N16
61,62,Diseases of the genitourinary system,N28.8,N28,ICD10,Schuettig et al (2019),N25-N29
62,63,Diseases and symptoms of urinary system,N30.0,N30,ICD10,Schuettig et al (2019),N30-N39
